Date,Close,High,Low,Open,Volume,EMA20,EMA50,EMA200
2025-07-17,109.26109313964844,109.43474698245875,108.77983170502242,108.96340300070925,7742400,109.26109313964844,109.26109313964844,109.26109313964844
2025-07-18,110.22856903076172,110.28314530105696,109.64808010338916,109.8118089142749,11246400,109.35323370070684,109.29903337067249,109.27071976543067
2025-07-21,110.74951934814453,111.16627945103338,110.51633052545276,110.6006742912345,9807800,109.4862132861771,109.35591517371061,109.28543418913928
2025-07-22,111.87081146240234,112.0791915265452,110.78921861938831,111.10178493031532,10980000,109.71331787438903,109.45453855758089,109.31115933613694
2025-07-23,112.40169525146484,112.57038280054188,111.99485255837625,112.1288138805609,10083200,109.96935381506292,109.57011332989006,109.34191093728448
2025-07-24,110.54114532470703,111.54336068727488,110.30795648929906,110.89837045254163,15148400,110.02381014931474,109.60819301596132,109.35384361775635
2025-07-25,111.56816101074219,111.73685612075057,110.81898453579178,111.09682461734758,12268000,110.1708911837364,109.68505450595272,109.3758766266418
2025-07-28,112.21810913085938,112.79363933583814,111.64754522266927,111.99981161881598,11332600,110.36586432155764,109.78438998143926,109.40415754708178
2025-07-29,111.44412994384766,112.25780775108142,111.19605734931815,112.23796527457196,11012600,110.46855628558525,109.84947782310233,109.42445577988543
2025-07-30,110.7396011352539,111.81127652621794,110.11941966880359,111.60785518828435,13746000,110.4943700807918,109.88438461965731,109.43754180332195
2025-07-31,109.86141967773438,111.46397400312003,109.71258218547202,111.27543641882187,13728200,110.43408909002443,109.88348403369955,109.44175949361461
2025-08-01,107.2120132446289,107.8123522609264,106.54718050104812,107.43031834146437,22660400,110.12722472379627,109.77872047334384,109.41957296377397
2025-08-04,108.47222137451172,108.64090891605005,107.69326982061341,108.03561120057766,12640200,109.96960535719775,109.7274852145661,109.41014657980122
2025-08-05,108.61114501953125,109.29582023159513,108.29361240174916,108.63098749601617,11021600,109.84022818218189,109.683707167702,109.40219631551993
2025-08-06,110.86860656738281,110.91821654362579,108.78479073023483,108.93363580011321,11728800,109.93816898077246,109.73017381082674,109.41678746230464
2025-08-07,110.83386993408203,111.65250644160088,109.90111458591788,111.14644381576991,12127600,110.0234738334686,109.77345601173872,109.43088778540691
2025-08-08,111.0273666381836,111.57312935882656,110.83387032278738,110.90333034445334,10108600,110.11908267201288,109.82262897748166,109.44677314712608
2025-08-11,111.31513214111328,111.8807373396972,111.12659455139378,111.30520711781895,9686400,110.23299214526054,109.88115851331034,109.46536378388218
2025-08-12,112.49595642089844,112.62495143722595,111.36474606056696,112.15857377504861,9791400,110.44851255246415,109.98369960772555,109.49551893449926
2025-08-13,114.03897094726562,114.20269219211362,112.79860801579906,112.91767801205215,12555400,110.79046097101667,110.14272985633497,109.54072741223824
2025-08-14,113.90996551513672,114.09354437240411,113.26994158952157,113.38901158280382,11244600,111.08755664188526,110.29046458805269,109.58420241823724
2025-08-15,113.6370849609375,114.62441656209114,113.23520858963897,114.5053389973983,9346800,111.33036886274738,110.42170460267562,109.62452960771685
2025-08-18,114.09355163574219,114.2671979105248,113.40886884848408,113.40886884848408,9293000,111.59352912684213,110.56569860397235,109.66899748859274
2025-08-19,114.03897094726562,115.13544753916032,113.7809733377597,114.1133896949238,11843000,111.82642834783485,110.70190536253287,109.7124798115646
2025-08-20,112.9127197265625,114.55000031660548,112.21811193988464,114.27711895650255,15303600,111.92988466961843,110.78860396504385,109.74432299479842
2025-08-21,112.242919921875,112.54061005272153,111.60785470860529,112.3520724651471,10117000,111.95969755078572,110.84563596335096,109.76918465576436
2025-08-22,115.65144348144531,115.70601975359413,112.62991360785975,112.79364242430623,14933800,112.31129240132472,111.03409900327624,109.82771459432836
2025-08-25,115.41825866699219,115.84990256230634,114.9320309270517,115.23467979759636,9851400,112.60719395043591,111.20602683322589,109.88334189853397
2025-08-26,115.94912719726562,115.983860993785,115.17018320038777,115.25452697262457,10809600,112.92547330727683,111.39203076907059,109.94369797115817
2025-08-27,115.97393035888672,116.36092297540091,115.82508529778718,115.94416286078167,8764400,113.2158025502873,111.57171310592612,110.00370028347389
2025-08-28,116.1723861694336,116.35099872983145,115.44801847545709,116.20216123831186,8211400,113.49738194258694,111.75213165743622,110.06508024253817
2025-08-29,114.9766845703125,116.3460425158815,114.67403571339703,116.1674299516269,11766000,113.63826790713223,111.87858471284315,110.11395192739165
2025-09-02,114.11834716796875,114.25230848285682,113.2749018979493,113.52297448151823,14705400,113.68398974149761,111.96641853461279,110.15379665615362
2025-09-03,114.57977294921875,115.21979692197598,114.07370272877066,114.34658410109928,13839000,113.76930242794724,112.06890302146009,110.19783622125874
2025-09-04,116.67350006103516,116.72807633258942,115.31405956904888,115.46290463424911,24662400,114.04589267871751,112.24947545438461,110.26227068732616
2025-09-05,116.648681640625,118.01308074606057,116.22695525253356,117.28870552630408,30997000,114.29377734175631,112.4219933440411,110.32581706497093
2025-09-08,117.10018157958984,117.43755665104716,116.7131889644127,117.2539853663174,18769200,114.5610539358357,112.60545170621948,110.3932236770567
2025-09-09,116.93646240234375,117.06049870128628,116.1624771082344,117.01584745060494,13340200,114.78728331359838,112.77529526293024,110.45833053004463
2025-09-10,115.5373306274414,117.1200350311995,115.23468175176438,117.1200350311995,16330400,114.85871639110724,112.88361037526401,110.5088678444466
2025-09-11,117.78486633300781,117.86425138119178,115.85486182616268,116.00370689886388,16448800,115.13739733795491,113.07581649125396,110.58126583935766
2025-09-12,118.3951187133789,118.56876497228228,117.55166590800138,117.60128345087328,9002800,115.44765651656672,113.28441657839612,110.65901561919867
2025-09-15,119.4221420288086,120.44916617425004,118.8317280596601,120.28543735814019,13760200,115.82617894630404,113.52511169409858,110.74621090685649
2025-09-16,120.15643310546875,120.29536071738303,119.49656669439182,119.85379182085835,8687400,116.23858410431973,113.78516351415233,110.83984495858398
2025-09-17,119.85379028320312,120.76172926653491,118.5786935844238,120.07705409173676,15324000,116.58288945468958,114.02314887764452,110.9295359568389
2025-09-18,119.31298828125,120.38962239095386,119.31298828125,120.3300873931779,10819800,116.84289886674296,114.23059356013886,111.01295339290269
2025-09-19,119.76447296142578,120.30031061178697,119.54616789232597,119.93812678563897,12576200,117.12114401861751,114.4476084386207,111.10003318960442
2025-09-22,119.37432098388672,120.28884401517276,119.32462350883537,119.68247869848486,12283600,117.33573230102411,114.64081285216055,111.18236441143807
2025-09-23,118.25105285644531,119.73714608246382,118.05224779693181,119.64767849693392,9696400,117.4229056872547,114.78239089154427,111.25269961984611
2025-09-24,119.0860595703125,119.29480717336905,118.40513664422957,118.78287690265067,9862000,117.58130129516496,114.95116221228028,111.33064349995026
2025-09-25,117.40612030029297,118.39021824026514,116.87430500954608,118.34548823934071,11590800,117.56461739089144,115.04743507847685,111.3910960054263
2025-09-26,119.1407241821289,119.21030671185484,117.53037588627986,117.93792853640976,9749400,117.71472279958073,115.20795621979654,111.4682067335527
2025-09-29,119.66259002685547,120.07511773534989,118.91209219608241,119.7669676139868,11244600,117.90023396408309,115.38264774164199,111.54974288572488
2025-09-30,119.10592651367188,119.65761926723302,118.17152606304626,119.54827421092887,12982000,118.01506182594868,115.52865867387847,111.62492879247063
