Ticker,Market,Last Close,EMA20,EMA50,EMA200,EMA20 Condition,Technical Bias,Data File,Chart File,Sprint Week
SPY,S&P 500,773.26,753.12,743.87,705.95,Above EMA20,Bullish,data/SPY.csv,charts/SPY_EMA20_chart.png,vW32
QQQ,Nasdaq 100 proxy,723.03,704.36,702.58,657.0,Above EMA20,Bullish,data/QQQ.csv,charts/QQQ_EMA20_chart.png,vW32
IWM,Russell 2000,301.56,295.72,291.77,269.56,Above EMA20,Bullish,data/IWM.csv,charts/IWM_EMA20_chart.png,vW32
XLK,Technology sector,187.97,180.56,178.74,160.8,Above EMA20,Bullish,data/XLK.csv,charts/XLK_EMA20_chart.png,vW32
XLF,Financial sector,57.6,56.74,55.19,52.96,Above EMA20,Bullish,data/XLF.csv,charts/XLF_EMA20_chart.png,vW32
XLV,Healthcare sector,165.68,162.43,158.48,150.43,Above EMA20,Bullish,data/XLV.csv,charts/XLV_EMA20_chart.png,vW32
XLY,Consumer Discretionary sector,119.86,115.85,115.82,115.87,Above EMA20,Bullish,data/XLY.csv,charts/XLY_EMA20_chart.png,vW32
XLE,Energy sector,57.5,57.78,57.04,53.13,Below EMA20,Neutral bearish,data/XLE.csv,charts/XLE_EMA20_chart.png,vW32
XLC,Communication Services sector,111.25,110.0,110.7,112.34,Above EMA20,Neutral bullish,data/XLC.csv,charts/XLC_EMA20_chart.png,vW32
XLI,Industrials sector,185.18,182.16,179.57,169.4,Above EMA20,Bullish,data/XLI.csv,charts/XLI_EMA20_chart.png,vW32
XLP,Consumer Staples sector,85.12,84.99,84.39,82.47,Above EMA20,Bullish,data/XLP.csv,charts/XLP_EMA20_chart.png,vW32
XLU,Utilities sector,43.61,44.67,44.88,44.35,Below EMA20,Bearish,data/XLU.csv,charts/XLU_EMA20_chart.png,vW32
XLRE,Real Estate sector,44.98,45.11,44.65,42.78,Below EMA20,Neutral bearish,data/XLRE.csv,charts/XLRE_EMA20_chart.png,vW32
XLB,Materials sector,52.86,51.5,51.19,49.25,Above EMA20,Bullish,data/XLB.csv,charts/XLB_EMA20_chart.png,vW32
