Ticker,Sector,Last Close,5D Return (%),EMA20 Condition
XLK,Technology,187.97,7.2,Above EMA20
XLB,Materials,52.86,4.82,Above EMA20
XLY,Consumer Discretionary,119.86,3.25,Above EMA20
XLI,Industrials,185.18,2.97,Above EMA20
XLC,Communication Services,111.25,2.78,Above EMA20
XLV,Health Care,165.68,1.93,Above EMA20
XLF,Financials,57.6,1.16,Above EMA20
XLP,Consumer Staples,85.12,0.08,Above EMA20
XLRE,Real Estate,44.98,-0.2,Below EMA20
XLU,Utilities,43.61,-1.67,Below EMA20
XLE,Energy,57.5,-3.44,Below EMA20
