Date,Close,High,Low,Open,Volume,EMA20,EMA50,EMA200
2025-07-11,104.69335174560547,105.1772638074154,104.25881416010601,105.01924740009305,4769400,104.69335174560547,104.69335174560547,104.69335174560547
2025-07-14,105.7204360961914,105.82907049288164,104.74272652597939,104.8019864462158,6101100,104.79116930280414,104.73362956327551,104.70357149038742
2025-07-15,104.67359924316406,106.00683069997248,104.65878614633797,105.80931771919984,5813500,104.77997215426699,104.73127543307507,104.70327325907176
2025-07-16,104.98961639404297,105.3253974768903,104.42669615437941,105.13775488545689,6812600,104.79993827234088,104.74140645115224,104.70612244449437
2025-07-17,105.35502624511719,105.47353854807434,104.65878059268802,104.90074038573671,4640100,104.85280379355767,104.7654699724842,104.71257919872943
2025-07-18,104.8711166381836,105.45378518837192,104.3279446552648,105.38465489369472,5593900,104.85454787399823,104.76961297898221,104.71415668568918
2025-07-21,106.27347564697266,106.45617552083615,105.40440803104403,105.44390459730897,4468600,104.98968385237674,104.82858798557007,104.72967229724424
2025-07-22,106.52037811279297,106.77715101938189,106.22410110252595,106.70802072160457,5292500,105.13546425813067,104.89493269644156,104.74749026555816
2025-07-23,107.10304260253906,107.14254670470986,106.14509637978632,106.4709920370805,4967000,105.32285267188385,104.98152524177871,104.77092859726942
2025-07-24,107.28080749511719,108.3375177425867,107.28080749511719,108.03137036848828,5732700,105.50932455981084,105.07169317328218,104.795902516651
2025-07-25,106.28335571289062,106.89565045270271,106.03646072822137,106.59443827002073,7300700,105.5830418124851,105.11920935130604,104.81070304596682
2025-07-28,105.71055603027344,106.39198858931147,105.51797824636749,106.21422390150315,6326900,105.59518602370305,105.14239941714791,104.8196568070047
2025-07-29,104.80198669433594,106.17472221797654,104.74272677395923,106.00682790065241,5396000,105.51964323042999,105.12904989860627,104.8194809849881
2025-07-30,105.12788391113281,105.83400750177323,104.77729724411938,105.1575176390796,6331700,105.48233281906835,105.12900417360731,104.8225496708204
2025-07-31,106.07596588134766,107.31044081693003,105.85869708714323,107.0931720227256,11450800,105.53886930119019,105.16613992685204,104.83502147391022
2025-08-01,104.80198669433594,105.62167232407049,104.32794500450748,105.50316755259115,9181900,105.46869000529931,105.15185940792985,104.83469276963585
2025-08-04,106.816650390625,106.83639867427043,105.34515084869984,105.48341143812895,4883600,105.59706718485414,105.21714532881987,104.85441374098897
2025-08-05,105.98707580566406,107.21167278628202,105.95744961385958,106.8660213241685,5774100,105.63421086302651,105.24733868085298,104.86568401028923
2025-08-06,106.3919906616211,106.67344702759497,105.5426713071757,106.53025125098318,5141000,105.70638036765456,105.29222699382429,104.88087114114826
2025-08-07,105.93769836425781,107.09317263691382,105.31059051832413,106.9647824207092,6248300,105.72841065304536,105.31753959658639,104.89138683491055
2025-08-08,106.29322814941406,106.86602633327182,105.97720286429204,105.97720286429204,5984400,105.78220279555667,105.35580189277572,104.90533550470661
2025-08-11,106.8364028930664,106.98947658493348,106.49075140584442,106.60432099422364,4686800,105.88260280484332,105.41386467710085,104.92455010558582
2025-08-12,108.88069152832031,108.99920383701101,107.28080926686336,107.33019127914378,7128000,106.16813506422207,105.54981867126631,104.96391469685682
2025-08-13,109.73001098632812,110.02134526894444,109.11770869292268,109.22634309231134,8215500,106.50736134251788,105.7137477816609,105.01133854053315
2025-08-14,109.81888580322266,110.40156188312305,109.25596554142707,109.30534755205213,5120900,106.82274462448976,105.87473358642804,105.05917483170418
2025-08-15,110.09541320800781,110.82622024183881,109.937396803592,110.1447876834101,5535500,107.13442734672957,106.04025043433313,105.10928665634403
2025-08-18,109.42385864257812,110.00159199422318,109.19671194471509,109.99664927243333,4295800,107.35246842252468,106.17294095230353,105.15221772088367
2025-08-19,108.81156158447266,109.44361216359654,108.37702398583602,109.44361216359654,5086000,107.49142967604354,106.27641627121213,105.18862910261093
2025-08-20,108.48565673828125,108.86094194400094,107.46845058840613,108.73255172746015,8825500,107.58611796768523,106.36305315227366,105.22143534774199
2025-08-21,108.36714172363281,108.63378497150467,107.91284835599922,108.2288736108945,3794600,107.66050118253737,106.44164486095441,105.25273590869612
2025-08-22,109.92752075195312,110.30280595146294,108.9745097261179,109.00907110601976,6382900,107.87640780819602,106.5783458762877,105.29925118076834
2025-08-25,110.10529327392578,110.50526197268343,109.68063356797522,109.8287720764952,5684400,108.088682614456,106.71665753894018,105.34707249512812
2025-08-26,109.62138366699219,109.88802696067131,109.29548044777727,109.88802696067131,4680600,108.23465414326897,106.83056836749124,105.38960295454964
2025-08-27,109.80902862548828,109.90778512396983,109.25104348384262,109.35474270476286,3603900,108.384594570147,106.94737073054995,105.4335773393351
2025-08-28,110.22379302978516,110.26823231688688,109.46335228885111,109.7398809894141,4645100,108.55975632820777,107.07585787953957,105.48124117705103
2025-08-29,110.00652313232422,110.32748358210101,109.53742419240558,109.89788874186264,4311800,108.69754364288552,107.19078592866838,105.52626885819804
