Date,Close,High,Low,Open,Volume,EMA20,EMA50,EMA200
2025-07-11,109.8614273071289,110.09461615529972,109.08744201131721,109.538935957399,6690400,109.8614273071289,109.8614273071289,109.8614273071289
2025-07-14,110.26826477050781,110.30299856651604,109.56869825918785,109.88623086729007,7292200,109.90017373221261,109.8773817174575,109.86547544109288
2025-07-15,108.6905288696289,110.6006832817628,108.64587004952381,110.3377269404286,10133200,109.7849694595856,109.83083846852304,109.85378443043156
2025-07-16,108.88897705078125,109.11719958104491,107.89668674736726,108.87905202798633,13982600,109.69963684922328,109.79390272665081,109.8441843570022
2025-07-17,109.2610855102539,109.43473934093846,108.77982410923303,108.96339539210159,7742400,109.65787005503573,109.77300793385095,109.8383823784276
2025-07-18,110.22857666015625,110.28315293422895,109.64808769260554,109.81181651482368,11246400,109.7122230650472,109.79087337409823,109.84226490859406
2025-07-21,110.74952697753906,111.16628710913798,110.5163381387832,110.60068191037527,9807800,109.81101391385594,109.82846763305669,109.85129239186715
2025-07-22,111.87081146240234,112.0791915265452,110.78921861938831,111.10178493031532,10980000,110.0071851089556,109.908559547933,109.87138710898691
2025-07-23,112.40167999267578,112.57036751885309,111.99483735481702,112.12879865881611,10083200,110.23523224073847,110.0063289771386,109.8965641526057
2025-07-24,110.54114532470703,111.54336068727488,110.30795648929906,110.89837045254163,15148400,110.26436682016404,110.02730216723931,109.9029778956117
2025-07-25,111.56816101074219,111.73685612075057,110.81898453579178,111.09682461734758,12268000,110.38853769545719,110.08772800423942,109.91954688183192
2025-07-28,112.2181167602539,112.79364700436135,111.64755281327274,111.99981923336908,11332600,110.56278332067592,110.17127266133804,109.94241822390578
2025-07-29,111.44412994384766,112.25780775108142,111.19605734931815,112.23796527457196,11012600,110.64672109431132,110.22118863320117,109.95736062907933
2025-07-30,110.7396011352539,111.81127652621794,110.11941966880359,111.60785518828435,13746000,110.65556681249633,110.24151853524245,109.96514411670296
2025-07-31,109.8614273071289,111.46398174380494,109.71258980453042,111.27544414641366,13728200,110.57993447865182,110.22661299688505,109.96411210864751
2025-08-01,107.2120132446289,107.8123522609264,106.54718050104812,107.43031834146437,22660400,110.25918007541154,110.10839339875736,109.93672804034883
2025-08-04,108.47222137451172,108.64090891605005,107.69326982061341,108.03561120057766,12640200,110.08899353246869,110.04422978996341,109.92215583471861
2025-08-05,108.61114501953125,109.29582023159513,108.29361240174916,108.63098749601617,11021600,109.94824605504608,109.98803038720138,109.90911095098541
2025-08-06,110.86859893798828,110.91820891081736,108.78478324423753,108.93362830387319,11728800,110.0358987105644,110.02256248723224,109.9186580951347
2025-08-07,110.8338623046875,111.65249875585442,109.90110702073079,111.14643616485895,12127600,110.11189524333803,110.05437816634813,109.92776460468251
2025-08-08,111.02735900878906,111.57312169192922,110.8338627066892,110.90332272358214,10108600,110.19908226861908,110.09253427781641,109.93870584253432
2025-08-11,111.31513214111328,111.8807373396972,111.12659455139378,111.30520711781895,9686400,110.30537273266614,110.14047929206335,109.9524016265998
2025-08-12,112.49596405029297,112.62495907536882,111.36475361324362,112.15858138156209,9791400,110.51400047720203,110.23285124336647,109.97771070544252
2025-08-13,114.0389633178711,114.20268455176587,112.79860046938684,112.91767045767395,12555400,110.84971122393242,110.38211054040588,110.01812117919803
2025-08-14,113.90996551513672,114.09354437240411,113.26994158952157,113.38901158280382,11244600,111.14116401357093,110.5204577943169,110.05684599846111
2025-08-15,113.6370849609375,114.62441656209114,113.23520858963897,114.5053389973983,9346800,111.37887077046298,110.64267846751771,110.09247026674447
2025-08-18,114.09354400634766,114.26719026951861,113.40886126487403,113.40886126487403,9293000,111.63741107864249,110.77800652786398,110.1322819457455
2025-08-19,114.0389633178711,115.1354398364097,113.78096572562563,114.11338206055053,11843000,111.8661303395214,110.90588718629563,110.17115439720945
2025-08-20,112.9127197265625,114.55000031660548,112.21811193988464,114.27711895650255,15303600,111.9658055192396,110.9845865016002,110.19843365421794
2025-08-21,112.242919921875,112.54061005272153,111.60785470860529,112.3520724651471,10117000,111.99219736710964,111.03393291023843,110.2187768011598
2025-08-22,115.65145111083984,115.706027386589,112.62992103792739,112.79364986517487,14933800,112.34069772365537,111.21501205536006,110.27283326195264
2025-08-25,115.41825103759766,115.84989490437921,114.93202332979787,115.23467218033677,9851400,112.63379803926892,111.3798449566243,110.32403144877499
2025-08-26,115.9491195678711,115.98385336210501,115.17017562224737,115.25451938893438,10809600,112.94954294675485,111.55903219628104,110.38000247483565
2025-08-27,115.97393798828125,116.36093063025392,115.8250929173899,115.94417048821794,8764400,113.23758056975736,111.73216575675163,110.4356635247207
