Ticker,Market,Last Close,EMA20,EMA50,EMA200,EMA20 Condition,Technical Bias,Data File,Chart File,Sprint Week
SPY,S&P 500,738.93,745.0,738.16,700.82,Below EMA20,Neutral bearish,data/SPY.csv,charts/SPY_EMA20_chart.png,vW30
QQQ,Nasdaq 100 proxy,684.23,708.08,704.3,652.0,Below EMA20,Neutral bearish,data/QQQ.csv,charts/QQQ_EMA20_chart.png,vW30
IWM,Russell 2000,291.17,294.16,289.69,267.14,Below EMA20,Neutral bearish,data/IWM.csv,charts/IWM_EMA20_chart.png,vW30
XLK,Technology sector,175.88,180.68,178.39,158.73,Below EMA20,Neutral bearish,data/XLK.csv,charts/XLK_EMA20_chart.png,vW30
XLF,Financial sector,56.31,55.5,54.09,52.63,Above EMA20,Bullish,data/XLF.csv,charts/XLF_EMA20_chart.png,vW30
XLV,Healthcare sector,162.57,159.53,155.7,149.51,Above EMA20,Bullish,data/XLV.csv,charts/XLV_EMA20_chart.png,vW30
XLY,Consumer Discretionary sector,109.41,114.73,115.73,115.92,Below EMA20,Bearish,data/XLY.csv,charts/XLY_EMA20_chart.png,vW30
XLE,Energy sector,59.62,56.96,56.42,52.68,Above EMA20,Bullish,data/XLE.csv,charts/XLE_EMA20_chart.png,vW30
XLC,Communication Services sector,106.3,109.69,111.06,112.6,Below EMA20,Bearish,data/XLC.csv,charts/XLC_EMA20_chart.png,vW30
XLI,Industrials sector,182.66,180.35,177.95,168.35,Above EMA20,Bullish,data/XLI.csv,charts/XLI_EMA20_chart.png,vW30
XLP,Consumer Staples sector,84.13,84.14,83.81,82.05,Below EMA20,Neutral bearish,data/XLP.csv,charts/XLP_EMA20_chart.png,vW30
XLU,Utilities sector,46.29,45.44,45.15,44.27,Above EMA20,Bullish,data/XLU.csv,charts/XLU_EMA20_chart.png,vW30
XLRE,Real Estate sector,45.95,44.87,44.33,42.64,Above EMA20,Bullish,data/XLRE.csv,charts/XLRE_EMA20_chart.png,vW30
XLB,Materials sector,51.26,50.78,50.86,49.14,Above EMA20,Neutral bullish,data/XLB.csv,charts/XLB_EMA20_chart.png,vW30
