Date,Close,High,Low,Open,Volume,EMA20,EMA50,EMA200
2025-07-11,148.2888946533203,148.6936815447539,147.71627260157928,148.08157507014545,7065200,148.2888946533203,148.2888946533203,148.2888946533203
2025-07-14,149.08859252929688,149.21694327233047,147.99271520512093,148.27903377578954,9069900,148.36505635579428,148.320255354339,148.29685184611608
2025-07-15,147.97299194335938,149.55262514767696,147.95324219722073,149.55262514767696,10278700,148.32771688794332,148.30663718135943,148.2936293595215
2025-07-16,148.49623107910156,148.60483207408794,146.50192874600683,148.3876300841152,9998300,148.34376585852982,148.31407223617285,148.29564529702978
2025-07-17,149.86854553222656,150.04624803541157,148.89113657078653,149.05897173423043,13374200,148.48898297031047,148.375031973273,148.3112960456387
2025-07-18,149.5328826904297,150.5398937215005,148.8713942786426,150.33257412407363,10201800,148.58840199127422,148.42043788374974,148.32345113663166
2025-07-21,148.74305725097656,150.10548835852003,148.6838230808192,149.99688735835107,10089300,148.60313106362685,148.433089623641,148.32762632184904
2025-07-22,149.0984649658203,149.3946508566739,147.80513547588785,148.2197896972268,15053900,148.65030572097862,148.4591827743147,148.33529635810746
2025-07-23,151.7739715576172,151.852955464262,150.10547230826512,150.34242402819956,14747300,148.94779770542038,148.58917449130698,148.36951203173444
2025-07-24,151.5172882080078,152.62303279400297,151.10263398825964,151.6160218594603,11695600,149.1925110866192,148.7040024801972,148.40083318771727
2025-07-25,153.01795959472656,153.08706110230955,151.4086944004724,151.9813164638551,9376600,149.55683951596276,148.87317726900227,148.44677474400592
2025-07-28,152.54405212402344,153.1759083386682,152.10966321647552,153.096939493398,9214700,149.8413359548257,149.01713314566976,148.48754367316033
2025-07-29,150.80645751953125,152.63292473302195,150.30295202080558,152.58355790421172,13546500,149.93325229432145,149.08730272895843,148.51061744277595
2025-07-30,150.0659942626953,150.8953027207386,149.36502147684223,150.5991168243973,13795300,149.94589438654754,149.12568278910499,148.52609382904382
2025-07-31,150.07586669921875,151.1223922437865,149.58222854343134,149.58222854343134,16520400,149.95827270204003,149.1629449032271,148.5415144546177
2025-08-01,147.83474731445312,148.43698641412448,146.24523199005102,148.04206688544838,19191700,149.75603218893653,149.1108587232752,148.53448194576035
2025-08-04,149.19720458984375,149.33542268311217,148.20992819088576,148.34814628415418,11355600,149.70281051283246,149.11424483568965,148.54107620092537
2025-08-05,148.89112854003906,149.67108521210247,147.87423520984197,148.9701124476303,12724800,149.6255074678045,149.1054951770367,148.54455930877725
2025-08-06,149.0095977783203,149.325533410613,147.90385319457613,149.02934752149864,10736700,149.56684940213933,149.10173449473407,148.54918655723043
2025-08-07,148.79241943359375,149.90803142087552,147.88411197074632,149.8487972525683,11095100,149.49309416703974,149.0896044923364,148.55160678485592
2025-08-08,148.910888671875,149.85866549981148,148.5258515109056,149.22680925964013,9124700,149.4376460246431,149.08259602878888,148.55518172900537
2025-08-11,148.42710876464844,149.0194805443165,148.07168870977563,148.93062929675833,9643500,149.3414043808341,149.05689064588142,148.5539073711511
2025-08-12,149.96726989746094,150.02651913211125,148.76279155847496,149.04911013303993,9518300,149.40101062051284,149.09259179300219,148.5679706798706
