Date,Close,High,Low,Open,Volume,EMA20,EMA50,EMA200
2025-07-18,110.22857666015625,110.28315293422895,109.64808769260554,109.81181651482368,11246400,110.22857666015625,110.22857666015625,110.22857666015625
2025-07-21,110.74952697753906,111.16628710913798,110.5163381387832,110.60068191037527,9807800,110.27819097609748,110.24900608436734,110.23376024540384
2025-07-22,111.87081146240234,112.0791915265452,110.78921861938831,111.10178493031532,10980000,110.42986911765031,110.31260629527068,110.25004931223967
2025-07-23,112.40168762207031,112.57037515969749,111.99484495659664,112.1288062696885,10083200,110.61766135616651,110.39453105318441,110.2714586486559
2025-07-24,110.5411376953125,111.54335298870885,110.30794887599889,110.89836279849192,15148400,110.61037338846613,110.40028033326787,110.27414202225448
2025-07-25,111.56816101074219,111.73685612075057,110.81898453579178,111.09682461734758,12268000,110.70159125725432,110.44607957552176,110.28701783308522
2025-07-28,112.21810913085938,112.79363933583814,111.64754522266927,111.99981161881598,11332600,110.846021530931,110.51557093063305,110.30623267186904
2025-07-29,111.44412994384766,112.25780775108142,111.19605734931815,112.23796527457196,11012600,110.90298423692306,110.55198500958264,110.31755503278426
2025-07-30,110.7396011352539,111.81127652621794,110.11941966880359,111.60785518828435,13746000,110.887423941526,110.55934250470699,110.32175449649043
2025-07-31,109.8614273071289,111.46398174380494,109.71258980453042,111.27544414641366,13728200,110.78970997634532,110.53197328127256,110.31717412644704
2025-08-01,107.21200561523438,107.8123445888107,106.54717291896425,107.43031069653486,22660400,110.44897622766808,110.40177847083969,110.2862769273305
2025-08-04,108.47222137451172,108.64090891605005,107.69326982061341,108.03561120057766,12640200,110.26071386070082,110.32610956510133,110.26822662332236
2025-08-05,108.61114501953125,109.29582023159513,108.29361240174916,108.63098749601617,11021600,110.10361206630371,110.25885605351036,110.2517382491553
2025-08-06,110.86859893798828,110.91820891081736,108.78478324423753,108.93362830387319,11728800,110.1764679588451,110.28276753917615,110.25787616645712
2025-08-07,110.83386993408203,111.65250644160088,109.90111458591788,111.14644381576991,12127600,110.23907767077242,110.3043793977999,110.26360744772703
2025-08-08,111.02735137939453,111.57311402503187,110.83385509059103,110.90331510271092,10108600,110.31415135730786,110.33273124021538,110.27120688983318
2025-08-11,111.31512451171875,111.88072967153681,111.12658693492138,111.30519948910467,9686400,110.40948213391843,110.37125646654884,110.28159412985194
2025-08-12,112.49595642089844,112.62495143722595,111.36474606056696,112.15857377504861,9791400,110.60819397077367,110.45457803338608,110.30362758548425
2025-08-13,114.03897094726562,114.20269219211362,112.79860801579906,112.91767801205215,12555400,110.93493463520147,110.59514246138136,110.34079518112387
2025-08-14,113.90997314453125,114.09355201409427,113.26994917604895,113.38901917730621,11244600,111.21827163609002,110.72513582150488,110.37630938971499
2025-08-15,113.63709259033203,114.62442425777338,113.23521619205223,114.5053466850859,9346800,111.44863553649402,110.83933020459614,110.40875499370124
2025-08-18,114.09354400634766,114.26719026951861,113.40886126487403,113.40886126487403,9293000,111.70053158124199,110.9669464321158,110.44541956099127
2025-08-19,114.03897094726562,115.13544753916032,113.7809733377597,114.1133896949238,11843000,111.92324009229186,111.08741798172953,110.48117629120296
2025-08-20,112.9127197265625,114.55000031660548,112.21811193988464,114.27711895650255,15303600,112.01747624793668,111.15899844231123,110.50537075324634
2025-08-21,112.242919921875,112.54061005272153,111.60785470860529,112.3520724651471,10117000,112.03894707402605,111.20150516700001,110.52265979970036
2025-08-22,115.65143585205078,115.70601212059927,112.62990617779212,112.7936349834376,14933800,112.38299362431412,111.37601225268827,110.57369239723619
2025-08-25,115.41825103759766,115.84989490437921,114.93202332979787,115.23467218033677,9851400,112.67206575891257,111.53453142072394,110.62189696082189
2025-08-26,115.94912719726562,115.983860993785,115.17018320038777,115.25452697262457,10809600,112.98416684827953,111.70765282372557,110.67490422685616
2025-08-27,115.97393798828125,116.36093063025392,115.8250929173899,115.94417048821794,8764400,113.26890695685113,111.87495812429637,110.72763093094994
2025-08-28,116.17239379882812,116.35100637095601,115.44802605728019,116.2021688696618,8211400,113.54542951322989,112.0434850134937,110.78180767590396
2025-08-29,114.97669219970703,116.34605023614118,114.674043322709,116.16743766003455,11766000,113.68174024527534,112.15851274628638,110.82354782041942
2025-09-02,114.11834716796875,114.25230848285682,113.2749018979493,113.52297448151823,14705400,113.72332185696042,112.23536899811705,110.85633189352937
2025-09-03,114.57977294921875,115.21979692197598,114.07370272877066,114.34658410109928,13839000,113.80488862765169,112.32730640796419,110.8933810582626
2025-09-04,116.67350006103516,116.72807633258942,115.31405956904888,115.46290463424911,24662400,114.07808971654535,112.49774537475129,110.95089468018074
2025-09-05,116.64868927001953,118.01308846469347,116.22696285434512,117.28871319755932,30997000,114.32290872163813,112.66052748829122,111.00758915371148
2025-09-08,117.10018157958984,117.43755665104716,116.7131889644127,117.2539853663174,18769200,114.58741089858592,112.83463157030295,111.06821196391923
2025-09-09,116.93646240234375,117.06049870128628,116.1624771082344,117.01584745060494,13340200,114.81113008942,112.99548768136337,111.12660251554534
2025-09-10,115.53732299804688,117.12002729729264,115.23467414235499,117.12002729729264,16330400,114.88029131881304,113.09516749770391,111.1704902815404
2025-09-11,117.78485870361328,117.86424374665516,115.85485432178221,116.00369938484214,16448800,115.1569167840321,113.27907695675918,111.2363048927053
2025-09-12,118.39512634277344,118.5687726128666,117.55167348304373,117.60129102911299,9002800,115.46531769438842,113.47970634444602,111.30753694693485
2025-09-15,119.4221420288086,120.44916617425004,118.8317280596601,120.28543735814019,13760200,115.84215810719034,113.71274303795043,111.38827928605798
2025-09-16,120.15643310546875,120.29536071738303,119.49656669439182,119.85379182085835,8687400,116.25304144035971,113.96543676608842,111.47552459769392
2025-09-17,119.85379028320312,120.76172926653491,118.5786935844238,120.07705409173676,15324000,116.59596990158289,114.196352590289,111.55889042541044
2025-09-18,119.31298828125,120.38962239095386,119.31298828125,120.3300873931779,10819800,116.85473355678928,114.39700497032669,111.63604562795612
2025-09-19,119.76448059082031,120.30031827531614,119.54617550781374,119.93813442609583,12576200,117.1318523219351,114.60749421034605,111.71692557783537
2025-09-22,119.37432098388672,120.28884401517276,119.32462350883537,119.68247869848486,12283600,117.3454207659305,114.79442859362216,111.79311856695031
2025-09-23,118.25106048583984,119.73715380773903,118.05225541349971,119.64768621643681,9696400,117.43167216782663,114.92998278547383,111.85737669549647
2025-09-24,119.0860595703125,119.29480717336905,118.40513664422957,118.78287690265067,9862000,117.58923287282528,115.09296618880083,111.92930388828071
2025-09-25,117.40612030029297,118.39021824026514,116.87430500954608,118.34548823934071,11590800,117.57179358020315,115.1836781147417,111.98379957397239
2025-09-26,119.14073181152344,119.21031434570521,117.53038341255278,117.93793608878106,9749400,117.72121626890032,115.3388566910861,112.05501283006743
2025-09-29,119.66259002685547,120.07511773534989,118.91209219608241,119.7669676139868,11244600,117.90610900775319,115.50841486111626,112.13071011560761
