Price,Close,High,Low,Open,Volume,EMA20,EMA50,EMA200
Ticker,XLY,XLY,XLY,XLY,XLY,,,
Date,,,,,,,,
2025-06-20,104.51393127441406,105.54577661321683,103.98808868925505,105.3027027217182,9704800,104.51393127441406,104.51393127441406,104.51393127441406
2025-06-23,106.58548736572266,106.77936925099026,104.2539361351774,104.72621174435129,12557200,104.71122233072917,104.59516876819086,104.53454377283505
2025-06-24,107.17707824707031,107.72392848238444,106.84896810588182,107.68415686657431,8652000,104.94606575133308,104.69642012030378,104.56083764820058
2025-06-25,105.91436767578125,107.53999748030496,105.47191885514667,107.51513927080988,9302000,105.03828498223291,104.7441827695382,104.57430560867402
2025-06-26,106.88874053955078,107.11245682840202,105.7801342383788,106.00881913462179,7543000,105.21451884483461,104.82828307424457,104.59733481196633
2025-06-27,108.6684799194336,108.67842471982082,107.17707845907412,107.41073196138325,8902000,105.54346751860595,104.97887902895786,104.63784371850831
2025-06-30,108.0420913696289,108.87230391845391,107.74380805065685,108.6336818146722,7003400,105.78143169489385,105.09900500310182,104.67171682946474
2025-07-01,108.50443267822266,108.96179491545706,106.74458216569766,107.00309389479906,13085400,106.04076512187756,105.23255118643989,104.70985330557178
2025-07-02,109.3744125366211,109.60806604641336,108.50442832354872,109.19544405221978,12436200,106.35825535185313,105.39497712174112,104.75626683025885
2025-07-03,109.9709701538086,110.28415928647883,109.57823020770284,109.86656871914538,6904800,106.70232342822983,105.57442782888103,104.80815442551805
2025-07-07,108.57402801513672,109.02145302415413,107.88798847170003,108.46963415632828,10081600,106.88058100793525,105.69205920873421,104.84562580451924
2025-07-08,108.20614624023438,109.02641398742988,108.12163440333289,108.822587306024,6855000,107.00682531577326,105.79065085702834,104.87906381880497
2025-07-09,108.84744262695312,109.16063934443399,108.28071040549138,108.68836375749248,4864800,107.18212220255229,105.91052504408422,104.91855017510495
2025-07-10,110.0505142211914,110.31897073907238,108.96676610600012,109.08110476364409,7566000,107.45530239480364,106.07287756083353,104.96961449397149
2025-07-11,110.0803451538086,110.31399867098803,109.30481755877074,109.75721118442968,6690400,107.70530646708983,106.23003315271491,105.0204675353629
2025-07-14,110.48798370361328,110.52278670967588,109.78702324628516,110.10518856522238,7292200,107.97032334675872,106.39701160569132,105.07487068131564
2025-07-15,108.90711212158203,110.82107282170269,108.86236431163957,110.55759249782723,10133200,108.05954132531332,106.49544692003998,105.11300243694019
2025-07-16,109.10595703125,109.33463433408569,108.11168941905338,109.09601223114326,13982600,108.15919996397395,106.59781986557763,105.15273332842585
2025-07-17,109.47881317138672,109.65281304698036,108.99659274713494,109.18052983770058,7742400,108.28487741229898,106.71079999521722,105.19577889900258
2025-07-18,110.44822692871094,110.50291195582773,109.86658123246539,110.03063631381576,11246400,108.4909106995763,106.85736575731502,105.2480420634773
2025-07-21,110.97020721435547,111.38779778493726,110.7365537219838,110.8210655575306,9807800,108.72703417717432,107.01865365759112,105.30497903015271
2025-07-22,112.09373474121094,112.3025300411649,111.00998662445079,111.32317578155158,10980000,109.0476723261302,107.21767644518405,105.37252883822295
2025-07-23,112.62567138671875,112.79469506938544,112.21801800252936,112.35224626142835,10083200,109.38843414142436,107.42975467818542,105.4446994108448
2025-07-24,110.76141357421875,111.76562598705142,110.52776007837659,111.11935052165099,15148400,109.51919408740477,107.56040796822595,105.4976020393361
2025-07-25,111.79047393798828,111.95950519321389,111.0398046391564,111.31819835036134,12268000,109.735506454127,107.72629290821664,105.56021768011871
2025-07-28,112.44172668457031,113.01840375129466,111.87002581099757,112.22299417004825,11332600,109.99324171416923,107.91121187983835,105.62869040653118
2025-07-29,111.66619873046875,112.4814979101646,111.4176318148827,112.46161589460824,11012600,110.1525709538168,108.05846626613759,105.6887651162221
2025-07-30,110.96027374267578,112.03408467865181,110.33885643051288,111.83025797970384,13746000,110.22949502894623,108.17226263776654,105.74121793837587
2025-07-31,110.0803451538086,111.68609295666477,109.93121106680945,111.49717966558508,13728200,110.21529027893313,108.24708940310151,105.7843933335543
2025-08-01,107.42564392089844,108.0271791728244,106.75948643147696,107.64438401250789,22660400,109.94960967340602,108.21487585477982,105.80072418516967
2025-08-04,108.68836975097656,108.85739342961774,107.90786601061441,108.25088956093101,12640200,109.82949158555559,108.23344424286597,105.82945697686925
2025-08-05,108.82757568359375,109.51361525574045,108.50941031495246,108.84745770040725,11021600,109.73407102346398,108.25674351505138,105.85928900380183
2025-08-06,111.08953094482422,111.13923977730302,109.0015627535448,109.15070442230197,11728800,109.8631624445459,108.36783321817974,105.91133121217023
2025-08-07,111.05472564697266,111.87499342974674,110.12011162196637,111.36792238634396,12127600,109.97664465430084,108.47320154872064,105.96250926624786
2025-08-08,111.24860382080078,111.79545404815806,111.054721937585,111.12432036782502,10108600,110.09778362253894,108.5820408535081,106.01510722201456
